numPosto;numEndereco;tipo;concentrador;numLed;concentradorSecundario;numLedSecundario;coluna;capacidade;descricao
19;159514;FLOWRACK;;;;;;;
19;159515;FLOWRACK;;;;;;;
19;159516;FLOWRACK;;;;;;;
19;159517;FLOWRACK;;;;;;;
19;159518;FLOWRACK;;;;;;;
19;159519;FLOWRACK;;;;;;;
19;160323;FLOWRACK;;;;;;;
19;159520;FLOWRACK;;;;;;;
19;150004;FLOWRACK;;;;;;;
19;159521;FLOWRACK;;;;;;;
19;159522;FLOWRACK;;;;;;;
19;159523;FLOWRACK;;;;;;;
19;159524;FLOWRACK;;;;;;;
19;159525;FLOWRACK;;;;;;;
19;159526;FLOWRACK;;;;;;;
19;159527;FLOWRACK;;;;;;;
19;159528;FLOWRACK;;;;;;;
19;150005;FLOWRACK;;;;;;;
19;159529;FLOWRACK;;;;;;;
19;159530;FLOWRACK;;;;;;;
19;159531;FLOWRACK;;;;;;;
19;159532;FLOWRACK;;;;;;;
19;159533;FLOWRACK;;;;;;;
19;159534;FLOWRACK;;;;;;;
19;159535;FLOWRACK;;;;;;;
19;159536;FLOWRACK;;;;;;;
19;150035;FLOWRACK;;;;;;;
19;159537;FLOWRACK;;;;;;;
19;160326;FLOWRACK;;;;;;;
19;159539;FLOWRACK;;;;;;;
19;159540;FLOWRACK;;;;;;;
19;159541;FLOWRACK;;;;;;;
19;159542;FLOWRACK;;;;;;;
19;159543;FLOWRACK;;;;;;;
19;160328;FLOWRACK;;;;;;;
19;150037;FLOWRACK;;;;;;;
19;159544;FLOWRACK;;;;;;;
19;159545;FLOWRACK;;;;;;;
19;159546;FLOWRACK;;;;;;;
19;159547;FLOWRACK;;;;;;;
19;159548;FLOWRACK;;;;;;;
19;159549;FLOWRACK;;;;;;;
19;159550;FLOWRACK;;;;;;;
19;159551;FLOWRACK;;;;;;;
19;150038;FLOWRACK;;;;;;;
19;159552;FLOWRACK;;;;;;;
19;159553;FLOWRACK;;;;;;;
19;159554;FLOWRACK;;;;;;;
19;159555;FLOWRACK;;;;;;;
19;159556;FLOWRACK;;;;;;;
19;159557;FLOWRACK;;;;;;;
19;159558;FLOWRACK;;;;;;;
19;159559;FLOWRACK;;;;;;;
